"","bin","value","target","type","location"
"1",0,0,"1 wk ahead","bin","Alabama"
"2",0.1,0,"1 wk ahead","bin","Alabama"
"3",0.2,0,"1 wk ahead","bin","Alabama"
"4",0.3,0,"1 wk ahead","bin","Alabama"
"5",0.4,0,"1 wk ahead","bin","Alabama"
"6",0.5,0,"1 wk ahead","bin","Alabama"
"7",0.6,0,"1 wk ahead","bin","Alabama"
"8",0.7,0,"1 wk ahead","bin","Alabama"
"9",0.8,0,"1 wk ahead","bin","Alabama"
"10",0.9,0,"1 wk ahead","bin","Alabama"
"11",1,0,"1 wk ahead","bin","Alabama"
"12",1.1,0,"1 wk ahead","bin","Alabama"
"13",1.2,0,"1 wk ahead","bin","Alabama"
"14",1.3,0,"1 wk ahead","bin","Alabama"
"15",1.4,0,"1 wk ahead","bin","Alabama"
"16",1.5,0,"1 wk ahead","bin","Alabama"
"17",1.6,0,"1 wk ahead","bin","Alabama"
"18",1.7,0,"1 wk ahead","bin","Alabama"
"19",1.8,0,"1 wk ahead","bin","Alabama"
"20",1.9,0,"1 wk ahead","bin","Alabama"
"21",2,0,"1 wk ahead","bin","Alabama"
"22",2.1,0,"1 wk ahead","bin","Alabama"
"23",2.2,0,"1 wk ahead","bin","Alabama"
"24",2.3,0,"1 wk ahead","bin","Alabama"
"25",2.4,0,"1 wk ahead","bin","Alabama"
"26",2.5,0,"1 wk ahead","bin","Alabama"
"27",2.6,0.002,"1 wk ahead","bin","Alabama"
"28",2.7,0,"1 wk ahead","bin","Alabama"
"29",2.8,0.001,"1 wk ahead","bin","Alabama"
"30",2.9,0,"1 wk ahead","bin","Alabama"
"31",3,0.003,"1 wk ahead","bin","Alabama"
"32",3.1,0.003,"1 wk ahead","bin","Alabama"
"33",3.2,0.001,"1 wk ahead","bin","Alabama"
"34",3.3,0.001,"1 wk ahead","bin","Alabama"
"35",3.4,0.001,"1 wk ahead","bin","Alabama"
"36",3.5,0.005,"1 wk ahead","bin","Alabama"
"37",3.6,0.004,"1 wk ahead","bin","Alabama"
"38",3.7,0.003,"1 wk ahead","bin","Alabama"
"39",3.8,0.005,"1 wk ahead","bin","Alabama"
"40",3.9,0.003,"1 wk ahead","bin","Alabama"
"41",4,0.005,"1 wk ahead","bin","Alabama"
"42",4.1,0.006,"1 wk ahead","bin","Alabama"
"43",4.2,0.005,"1 wk ahead","bin","Alabama"
"44",4.3,0.006,"1 wk ahead","bin","Alabama"
"45",4.4,0.007,"1 wk ahead","bin","Alabama"
"46",4.5,0.008,"1 wk ahead","bin","Alabama"
"47",4.6,0.009,"1 wk ahead","bin","Alabama"
"48",4.7,0.006,"1 wk ahead","bin","Alabama"
"49",4.8,0.012,"1 wk ahead","bin","Alabama"
"50",4.9,0.016,"1 wk ahead","bin","Alabama"
"51",5,0.008,"1 wk ahead","bin","Alabama"
"52",5.1,0.008,"1 wk ahead","bin","Alabama"
"53",5.2,0.017,"1 wk ahead","bin","Alabama"
